Statement,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree
My work contributes meaningfully to national security.,FALSE,FALSE,FALSE,FALSE,FALSE
I am satisfied with my current duty location.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides clear career progression paths.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF's technology and equipment are adequate for mission success.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides adequate recognition for achievements.,FALSE,FALSE,FALSE,FALSE,FALSE
I have adequate access to continuing education opportunities.,FALSE,FALSE,FALSE,FALSE,FALSE
My unit maintains high standards of performance.,FALSE,FALSE,FALSE,FALSE,FALSE
My supervisor provides helpful feedback on my performance.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively manages workload distribution.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF supports my personal and family needs.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides clear guidance on professional conduct.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides clear expectations for performance.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively communicates its achievements to the public.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides adequate financial planning resources.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides adequate opportunities for joint assignments.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively recognizes exceptional performance.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF culture aligns with my personal values.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively addresses burnout and stress management.,FALSE,FALSE,FALSE,FALSE,FALSE
I have adequate opportunities for operational experience.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively communicates career opportunities.,FALSE,FALSE,FALSE,FALSE,FALSE
I am satisfied with the quality of USSF facilities.,FALSE,FALSE,FALSE,FALSE,FALSE
I am satisfied with the USSF's leave policies.,FALSE,FALSE,FALSE,FALSE,FALSE
My work environment is positive and supportive.,FALSE,FALSE,FALSE,FALSE,FALSE
I am satisfied with my current level of responsibility.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively utilizes my skills and abilities.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides adequate support during PCS moves.,FALSE,FALSE,FALSE,FALSE,FALSE
My work schedule allows for appropriate rest and recovery.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides adequate recreational facilities and programs.,FALSE,FALSE,FALSE,FALSE,FALSE
I feel valued as a member of the USSF.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively addresses workplace conflicts.,FALSE,FALSE,FALSE,FALSE,FALSE
I am satisfied with the USSF's organizational culture.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides adequate childcare support.,FALSE,FALSE,FALSE,FALSE,FALSE
I am satisfied with promotion opportunities in the USSF.,FALSE,FALSE,FALSE,FALSE,FALSE
I have confidence in my unit's ability to accomplish its mission.,FALSE,FALSE,FALSE,FALSE,FALSE
I have adequate opportunities to provide feedback to leadership.,FALSE,FALSE,FALSE,FALSE,FALSE
I would recommend the USSF to qualified candidates.,FALSE,FALSE,FALSE,FALSE,FALSE
I feel the USSF is innovative in its approach to space operations.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides adequate family support services.,FALSE,FALSE,FALSE,FALSE,FALSE
I feel the USSF prepares Guardians for civilian careers after service.,FALSE,FALSE,FALSE,FALSE,FALSE
I understand the USSF's promotion criteria.,FALSE,FALSE,FALSE,FALSE,FALSE
I feel the USSF is respected by other military branches.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides adequate support for professional development.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF adequately prepares Guardians for deployment.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively balances tradition with innovation.,FALSE,FALSE,FALSE,FALSE,FALSE
I feel my work is meaningful.,FALSE,FALSE,FALSE,FALSE,FALSE
I feel the USSF values work-life balance.,FALSE,FALSE,FALSE,FALSE,FALSE
I am satisfied with the USSF's physical fitness standards.,FALSE,FALSE,FALSE,FALSE,FALSE
I am satisfied with the USSF uniform and appearance standards.,FALSE,FALSE,FALSE,FALSE,FALSE
I am satisfied with the quality of USSF leadership training.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides adequate transition assistance for those leaving service.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively communicates with families of Guardians.,FALSE,FALSE,FALSE,FALSE,FALSE
My chain of command is responsive to my concerns.,FALSE,FALSE,FALSE,FALSE,FALSE
I feel connected to the USSF's vision for the future.,FALSE,FALSE,FALSE,FALSE,FALSE
I have adequate opportunities for advanced education.,FALSE,FALSE,FALSE,FALSE,FALSE
I feel the USSF is adequately funded for its mission.,FALSE,FALSE,FALSE,FALSE,FALSE
I am satisfied with the USSF's deployment tempo.,FALSE,FALSE,FALSE,FALSE,FALSE
I feel physically safe in my work environment.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively manages career field transitions.,FALSE,FALSE,FALSE,FALSE,FALSE
My work is intellectually challenging.,FALSE,FALSE,FALSE,FALSE,FALSE
I feel prepared for future challenges in space operations.,FALSE,FALSE,FALSE,FALSE,FALSE
I am satisfied with my work-life balance.,FALSE,FALSE,FALSE,FALSE,FALSE
I have confidence in USSF senior leadership.,FALSE,FALSE,FALSE,FALSE,FALSE
I have adequate opportunities to network with industry professionals.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively addresses diversity and inclusion.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides adequate housing support.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF offers adequate specialized training for my career field.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF's organizational structure supports mission effectiveness.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides adequate support for professional certifications.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively communicates its strategic priorities.,FALSE,FALSE,FALSE,FALSE,FALSE
My compensation is competitive with civilian alternatives.,FALSE,FALSE,FALSE,FALSE,FALSE
I have adequate opportunities to participate in decision-making processes.,FALSE,FALSE,FALSE,FALSE,FALSE
I am satisfied with healthcare services available to me.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively manages the transition from other services.,FALSE,FALSE,FALSE,FALSE,FALSE
I have access to the resources needed to perform my job effectively.,FALSE,FALSE,FALSE,FALSE,FALSE
The benefits package meets my needs.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively integrates with other military branches.,FALSE,FALSE,FALSE,FALSE,FALSE
I have opportunities to develop new skills in my current role.,FALSE,FALSE,FALSE,FALSE,FALSE
I feel the USSF is prepared for future space threats.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides adequate mental health resources.,FALSE,FALSE,FALSE,FALSE,FALSE
I am proud to serve in the USSF.,FALSE,FALSE,FALSE,FALSE,FALSE
I understand how my role contributes to the larger USSF mission.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides adequate support for continuing education.,FALSE,FALSE,FALSE,FALSE,FALSE
I have confidence in my peers' abilities.,FALSE,FALSE,FALSE,FALSE,FALSE
My training has adequately prepared me for my responsibilities.,FALSE,FALSE,FALSE,FALSE,FALSE
I feel the USSF is at the cutting edge of space operations.,FALSE,FALSE,FALSE,FALSE,FALSE
I feel the USSF offers competitive career opportunities compared to civilian space sector.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively manages retention of key personnel.,FALSE,FALSE,FALSE,FALSE,FALSE
I feel my career field is valued within the USSF.,FALSE,FALSE,FALSE,FALSE,FALSE
I have mentors who help guide my career development.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides adequate technical training.,FALSE,FALSE,FALSE,FALSE,FALSE
I understand the USSF's mission and my role in it.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively manages personnel assignments.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides clear guidance on career milestones.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides a sense of purpose in my professional life.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively manages talent within the organization.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF effectively communicates organizational changes.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF provides adequate leadership development opportunities.,FALSE,FALSE,FALSE,FALSE,FALSE
The USSF values innovation and new ideas.,FALSE,FALSE,FALSE,FALSE,FALSE
I am satisfied with the camaraderie within my unit.,FALSE,FALSE,FALSE,FALSE,FALSE
I am satisfied with opportunities to provide input on USSF policies.,FALSE,FALSE,FALSE,FALSE,FALSE
